Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-06 17:25:44,booting @ 2024-03-06 17:25:44,submitting @ 2024-03-06 17:25:44,authing @ 2024-03-06 17:25:44,launching @ 2024-03-06 17:25:44,running @ 2024-03-06 17:25:44,closing @ 2024-03-06 17:25:49,completed @ 2024-03-06 17:25:49
s2-main,write,write,2177,8708000,878.08,878.01,910,1140,1310,1420,1690,2240,18.22,72876.34,100%,completed,waiting @ 2024-03-06 17:25:44,booting @ 2024-03-06 17:25:51,submitting @ 2024-03-06 17:25:51,authing @ 2024-03-06 17:25:51,launching @ 2024-03-06 17:25:51,running @ 2024-03-06 17:25:51,closing @ 2024-03-06 17:27:56,completed @ 2024-03-06 17:27:56
s3-dispose,dispose-delete,dispose,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-06 17:25:44,booting @ 2024-03-06 17:27:58,submitting @ 2024-03-06 17:27:58,authing @ 2024-03-06 17:27:58,launching @ 2024-03-06 17:27:58,running @ 2024-03-06 17:27:58,closing @ 2024-03-06 17:29:53,completed @ 2024-03-06 17:29:53
