Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-06 16:39:48,booting @ 2024-03-06 16:39:48,submitting @ 2024-03-06 16:39:48,authing @ 2024-03-06 16:39:47,launching @ 2024-03-06 16:39:47,running @ 2024-03-06 16:39:47,closing @ 2024-03-06 16:39:52,completed @ 2024-03-06 16:39:52
s2-main,write,write,1340,5360000,713.02,712.95,750,950,1130,1270,1620,1780,11.22,44867.5,100%,completed,waiting @ 2024-03-06 16:39:48,booting @ 2024-03-06 16:39:54,submitting @ 2024-03-06 16:39:54,authing @ 2024-03-06 16:39:54,launching @ 2024-03-06 16:39:54,running @ 2024-03-06 16:39:54,closing @ 2024-03-06 16:41:59,completed @ 2024-03-06 16:41:59
s3-dispose,dispose-delete,dispose,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-06 16:39:48,booting @ 2024-03-06 16:42:01,submitting @ 2024-03-06 16:42:01,authing @ 2024-03-06 16:42:01,launching @ 2024-03-06 16:42:01,running @ 2024-03-06 16:42:01,closing @ 2024-03-06 16:43:11,completed @ 2024-03-06 16:43:11
