Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-06 16:36:16,booting @ 2024-03-06 16:36:16,submitting @ 2024-03-06 16:36:16,authing @ 2024-03-06 16:36:16,launching @ 2024-03-06 16:36:16,running @ 2024-03-06 16:36:16,closing @ 2024-03-06 16:36:21,completed @ 2024-03-06 16:36:21
s2-main,write,write,1162,148736000,823.14,822.73,860,1070,1220,1360,1590,2620,9.72,1243674.94,100%,completed,waiting @ 2024-03-06 16:36:16,booting @ 2024-03-06 16:36:23,submitting @ 2024-03-06 16:36:22,authing @ 2024-03-06 16:36:22,launching @ 2024-03-06 16:36:22,running @ 2024-03-06 16:36:22,closing @ 2024-03-06 16:38:27,completed @ 2024-03-06 16:38:27
s3-dispose,dispose-delete,dispose,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-06 16:36:16,booting @ 2024-03-06 16:38:29,submitting @ 2024-03-06 16:38:29,authing @ 2024-03-06 16:38:29,launching @ 2024-03-06 16:38:29,running @ 2024-03-06 16:38:29,closing @ 2024-03-06 16:39:34,completed @ 2024-03-06 16:39:34
