Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-06 17:17:58,booting @ 2024-03-06 17:17:58,submitting @ 2024-03-06 17:17:58,authing @ 2024-03-06 17:17:58,launching @ 2024-03-06 17:17:58,running @ 2024-03-06 17:17:58,closing @ 2024-03-06 17:18:03,completed @ 2024-03-06 17:18:03
s2-main,write,write,1079,4316000,887.22,887.14,930,1150,1320,1450,1760,1960,9.02,36060.95,100%,completed,waiting @ 2024-03-06 17:17:58,booting @ 2024-03-06 17:18:05,submitting @ 2024-03-06 17:18:05,authing @ 2024-03-06 17:18:05,launching @ 2024-03-06 17:18:05,running @ 2024-03-06 17:18:05,closing @ 2024-03-06 17:20:10,completed @ 2024-03-06 17:20:10
s3-dispose,dispose-delete,dispose,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-06 17:17:58,booting @ 2024-03-06 17:20:12,submitting @ 2024-03-06 17:20:12,authing @ 2024-03-06 17:20:12,launching @ 2024-03-06 17:20:12,running @ 2024-03-06 17:20:12,closing @ 2024-03-06 17:21:27,completed @ 2024-03-06 17:21:27
