Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-06 16:46:50,booting @ 2024-03-06 16:47:26,submitting @ 2024-03-06 16:47:26,authing @ 2024-03-06 16:47:25,launching @ 2024-03-06 16:47:25,running @ 2024-03-06 16:47:25,closing @ 2024-03-06 16:47:30,completed @ 2024-03-06 16:47:30
s2-main,write,write,985,126080000,968.51,968.12,1020,1230,1400,1540,1790,2310,8.26,1057145.14,100%,completed,waiting @ 2024-03-06 16:46:50,booting @ 2024-03-06 16:47:32,submitting @ 2024-03-06 16:47:32,authing @ 2024-03-06 16:47:32,launching @ 2024-03-06 16:47:32,running @ 2024-03-06 16:47:32,closing @ 2024-03-06 16:49:37,completed @ 2024-03-06 16:49:37
s3-dispose,dispose-delete,dispose,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-06 16:46:50,booting @ 2024-03-06 16:49:39,submitting @ 2024-03-06 16:49:39,authing @ 2024-03-06 16:49:39,launching @ 2024-03-06 16:49:39,running @ 2024-03-06 16:49:39,closing @ 2024-03-06 16:50:39,completed @ 2024-03-06 16:50:39
