Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-09 15:24:05,booting @ 2024-03-09 15:24:05,submitting @ 2024-03-09 15:24:05,authing @ 2024-03-09 15:24:05,launching @ 2024-03-09 15:24:05,running @ 2024-03-09 15:24:05,closing @ 2024-03-09 15:24:10,completed @ 2024-03-09 15:24:10
s2-main,write,write,288,1152000,560.85,560.79,560,730,830,960,1250,1640,28.58,114315.63,100%,completed,waiting @ 2024-03-09 15:24:05,booting @ 2024-03-09 15:24:12,submitting @ 2024-03-09 15:24:12,authing @ 2024-03-09 15:24:12,launching @ 2024-03-09 15:24:12,running @ 2024-03-09 15:24:12,closing @ 2024-03-09 15:24:27,completed @ 2024-03-09 15:24:27
s3-dispose,dispose-delete,dispose,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-09 15:24:05,booting @ 2024-03-09 15:24:29,submitting @ 2024-03-09 15:24:29,authing @ 2024-03-09 15:24:29,launching @ 2024-03-09 15:24:29,running @ 2024-03-09 15:24:29,closing @ 2024-03-09 15:24:49,completed @ 2024-03-09 15:24:49
