Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-09 15:25:11,booting @ 2024-03-09 15:25:11,submitting @ 2024-03-09 15:25:11,authing @ 2024-03-09 15:25:11,launching @ 2024-03-09 15:25:11,running @ 2024-03-09 15:25:11,closing @ 2024-03-09 15:25:16,completed @ 2024-03-09 15:25:16
s2-main,write,write,296,1184000,594.18,594.13,610,760,950,1040,1170,1380,13.5,53986.13,100%,completed,waiting @ 2024-03-09 15:25:11,booting @ 2024-03-09 15:25:18,submitting @ 2024-03-09 15:25:18,authing @ 2024-03-09 15:25:18,launching @ 2024-03-09 15:25:18,running @ 2024-03-09 15:25:18,closing @ 2024-03-09 15:25:43,completed @ 2024-03-09 15:25:43
s3-dispose,dispose-delete,dispose,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-09 15:25:11,booting @ 2024-03-09 15:25:45,submitting @ 2024-03-09 15:25:45,authing @ 2024-03-09 15:25:45,launching @ 2024-03-09 15:25:45,running @ 2024-03-09 15:25:45,closing @ 2024-03-09 15:26:00,completed @ 2024-03-09 15:26:00
