Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-09 17:03:06,booting @ 2024-03-09 17:03:06,submitting @ 2024-03-09 17:03:06,authing @ 2024-03-09 17:03:06,launching @ 2024-03-09 17:03:06,running @ 2024-03-09 17:03:06,closing @ 2024-03-09 17:03:11,completed @ 2024-03-09 17:03:11
s2-main,write,write,296,1184000,548.81,548.75,560,730,900,1050,1230,1390,14.6,58415.14,100%,completed,waiting @ 2024-03-09 17:03:06,booting @ 2024-03-09 17:03:13,submitting @ 2024-03-09 17:03:13,authing @ 2024-03-09 17:03:13,launching @ 2024-03-09 17:03:13,running @ 2024-03-09 17:03:13,closing @ 2024-03-09 17:03:38,completed @ 2024-03-09 17:03:38
s3-dispose,dispose-delete,dispose,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-09 17:03:06,booting @ 2024-03-09 17:03:40,submitting @ 2024-03-09 17:03:40,authing @ 2024-03-09 17:03:40,launching @ 2024-03-09 17:03:40,running @ 2024-03-09 17:03:40,closing @ 2024-03-09 17:04:00,completed @ 2024-03-09 17:04:00
