Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-09 17:01:30,booting @ 2024-03-09 17:01:30,submitting @ 2024-03-09 17:01:30,authing @ 2024-03-09 17:01:30,launching @ 2024-03-09 17:01:30,running @ 2024-03-09 17:01:30,closing @ 2024-03-09 17:01:35,completed @ 2024-03-09 17:01:35
s2-main,write,write,288,1152000,610.38,610.3,630,810,950,1080,1290,1430,26.39,105548.99,100%,completed,waiting @ 2024-03-09 17:01:30,booting @ 2024-03-09 17:01:37,submitting @ 2024-03-09 17:01:37,authing @ 2024-03-09 17:01:36,launching @ 2024-03-09 17:01:36,running @ 2024-03-09 17:01:36,closing @ 2024-03-09 17:01:51,completed @ 2024-03-09 17:01:51
s3-dispose,dispose-delete,dispose,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-09 17:01:30,booting @ 2024-03-09 17:01:53,submitting @ 2024-03-09 17:01:53,authing @ 2024-03-09 17:01:53,launching @ 2024-03-09 17:01:53,running @ 2024-03-09 17:01:53,closing @ 2024-03-09 17:02:08,completed @ 2024-03-09 17:02:08
