================================================== stage: s1-init ==================================================
---------------------------------- mission: M11408BC424, driver: driver1 ----------------------------------
2024-03-06 17:21:50,711 [INFO] [NoneStorage] - performing PUT at /V4PVO11/myobjects50
2024-03-06 17:21:50,833 [INFO] [NoneStorage] - performing PUT at /V4PVO12/myobjects51
2024-03-06 17:21:50,833 [INFO] [NoneStorage] - performing PUT at /V4PVO13/myobjects52
2024-03-06 17:21:50,918 [INFO] [NoneStorage] - performing PUT at /V4PVO1/myobjects53
2024-03-06 17:21:50,920 [INFO] [NoneStorage] - performing PUT at /V4PVO2/myobjects54
2024-03-06 17:21:51,074 [INFO] [NoneStorage] - performing PUT at /V4PVO3/myobjects55
2024-03-06 17:21:51,098 [INFO] [NoneStorage] - performing PUT at /V4PVO4/myobjects56
2024-03-06 17:21:51,121 [INFO] [NoneStorage] - performing PUT at /V4PVO5/myobjects57
2024-03-06 17:21:51,123 [INFO] [NoneStorage] - performing PUT at /V4PVO6/myobjects58
2024-03-06 17:21:51,145 [INFO] [NoneStorage] - performing PUT at /V4PVO7/myobjects59
2024-03-06 17:21:51,147 [INFO] [NoneStorage] - performing PUT at /V4PVO8/myobjects60
2024-03-06 17:21:51,208 [INFO] [NoneStorage] - performing PUT at /V4PVO9/myobjects61
2024-03-06 17:21:51,209 [INFO] [NoneStorage] - performing PUT at /V4PVO10/myobjects62
2024-03-06 17:21:51,286 [INFO] [NoneStorage] - performing PUT at /V4PVO11/myobjects63
2024-03-06 17:21:51,405 [INFO] [NoneStorage] - performing PUT at /V4PVO12/myobjects64
2024-03-06 17:21:51,501 [INFO] [NoneStorage] - performing PUT at /V4PVO13/myobjects65
2024-03-06 17:21:51,559 [INFO] [NoneStorage] - performing PUT at /V4PVO1/myobjects66
2024-03-06 17:21:51,559 [INFO] [NoneStorage] - performing PUT at /V4PVO2/myobjects67
2024-03-06 17:21:51,642 [INFO] [NoneStorage] - performing PUT at /V4PVO3/myobjects68
2024-03-06 17:21:51,784 [INFO] [NoneStorage] - performing PUT at /V4PVO4/myobjects69
2024-03-06 17:21:51,785 [INFO] [NoneStorage] - performing PUT at /V4PVO5/myobjects70
2024-03-06 17:21:51,786 [INFO] [NoneStorage] - performing PUT at /V4PVO6/myobjects71
2024-03-06 17:21:51,832 [INFO] [NoneStorage] - performing PUT at /V4PVO7/myobjects72
2024-03-06 17:21:51,833 [INFO] [NoneStorage] - performing PUT at /V4PVO8/myobjects73
2024-03-06 17:21:51,843 [INFO] [NoneStorage] - performing PUT at /V4PVO9/myobjects74
2024-03-06 17:21:51,997 [INFO] [NoneStorage] - performing PUT at /V4PVO10/myobjects75
2024-03-06 17:21:51,997 [INFO] [NoneStorage] - performing PUT at /V4PVO11/myobjects76
2024-03-06 17:21:52,000 [INFO] [NoneStorage] - performing PUT at /V4PVO12/myobjects77
2024-03-06 17:21:52,049 [INFO] [NoneStorage] - performing PUT at /V4PVO13/myobjects78
2024-03-06 17:21:52,050 [INFO] [NoneStorage] - performing PUT at /V4PVO1/myobjects79
2024-03-06 17:21:52,098 [INFO] [NoneStorage] - performing PUT at /V4PVO2/myobjects80
2024-03-06 17:21:52,125 [INFO] [NoneStorage] - performing PUT at /V4PVO3/myobjects81
2024-03-06 17:21:52,189 [INFO] [NoneStorage] - performing PUT at /V4PVO4/myobjects82
2024-03-06 17:21:52,192 [INFO] [NoneStorage] - performing PUT at /V4PVO5/myobjects83
2024-03-06 17:21:52,241 [INFO] [NoneStorage] - performing PUT at /V4PVO6/myobjects84
2024-03-06 17:21:52,242 [INFO] [NoneStorage] - performing PUT at /V4PVO7/myobjects85
