Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-06 17:21:41,booting @ 2024-03-06 17:21:41,submitting @ 2024-03-06 17:21:41,authing @ 2024-03-06 17:21:41,launching @ 2024-03-06 17:21:41,running @ 2024-03-06 17:21:41,closing @ 2024-03-06 17:21:46,completed @ 2024-03-06 17:21:46
s2-main,write,write,1640,209920000,1163.49,1163.09,1210,1420,1580,1690,1930,3900,13.75,1760015.19,100%,completed,waiting @ 2024-03-06 17:21:41,booting @ 2024-03-06 17:21:48,submitting @ 2024-03-06 17:21:48,authing @ 2024-03-06 17:21:48,launching @ 2024-03-06 17:21:48,running @ 2024-03-06 17:21:48,closing @ 2024-03-06 17:23:53,completed @ 2024-03-06 17:23:53
s3-dispose,dispose-delete,dispose,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-06 17:21:41,booting @ 2024-03-06 17:23:55,submitting @ 2024-03-06 17:23:55,authing @ 2024-03-06 17:23:55,launching @ 2024-03-06 17:23:55,running @ 2024-03-06 17:23:55,closing @ 2024-03-06 17:25:30,completed @ 2024-03-06 17:25:30
