Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-06 17:14:16,booting @ 2024-03-06 17:14:16,submitting @ 2024-03-06 17:14:16,authing @ 2024-03-06 17:14:16,launching @ 2024-03-06 17:14:16,running @ 2024-03-06 17:14:16,closing @ 2024-03-06 17:14:21,completed @ 2024-03-06 17:14:21
s2-main,write,write,906,115968000,1055.3,1054.9,1110,1340,1500,1650,2000,2510,7.58,970193.3,100%,completed,waiting @ 2024-03-06 17:14:16,booting @ 2024-03-06 17:14:23,submitting @ 2024-03-06 17:14:23,authing @ 2024-03-06 17:14:23,launching @ 2024-03-06 17:14:23,running @ 2024-03-06 17:14:23,closing @ 2024-03-06 17:16:28,completed @ 2024-03-06 17:16:28
s3-dispose,dispose-delete,dispose,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-06 17:14:16,booting @ 2024-03-06 17:16:30,submitting @ 2024-03-06 17:16:30,authing @ 2024-03-06 17:16:29,launching @ 2024-03-06 17:16:29,running @ 2024-03-06 17:16:29,closing @ 2024-03-06 17:17:44,completed @ 2024-03-06 17:17:44
