Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-09 17:07:21,booting @ 2024-03-09 17:07:21,submitting @ 2024-03-09 17:07:21,authing @ 2024-03-09 17:07:21,launching @ 2024-03-09 17:07:21,running @ 2024-03-09 17:07:21,closing @ 2024-03-09 17:07:26,completed @ 2024-03-09 17:07:26
s2-main,write,write,296,1184000,511.7,511.61,530,670,810,970,1230,1430,15.65,62583.26,100%,completed,waiting @ 2024-03-09 17:07:21,booting @ 2024-03-09 17:07:28,submitting @ 2024-03-09 17:07:28,authing @ 2024-03-09 17:07:28,launching @ 2024-03-09 17:07:28,running @ 2024-03-09 17:07:28,closing @ 2024-03-09 17:07:48,completed @ 2024-03-09 17:07:48
s3-dispose,dispose-delete,dispose,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-09 17:07:21,booting @ 2024-03-09 17:07:50,submitting @ 2024-03-09 17:07:50,authing @ 2024-03-09 17:07:50,launching @ 2024-03-09 17:07:50,running @ 2024-03-09 17:07:50,closing @ 2024-03-09 17:08:10,completed @ 2024-03-09 17:08:10
