Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-09 15:20:27,booting @ 2024-03-09 15:20:27,submitting @ 2024-03-09 15:20:27,authing @ 2024-03-09 15:20:27,launching @ 2024-03-09 15:20:27,running @ 2024-03-09 15:20:27,closing @ 2024-03-09 15:20:32,completed @ 2024-03-09 15:20:32
s2-main,write,write,288,1152000,548.07,548,560,700,820,940,1130,1380,29.22,116897.11,100%,completed,waiting @ 2024-03-09 15:20:27,booting @ 2024-03-09 15:20:34,submitting @ 2024-03-09 15:20:34,authing @ 2024-03-09 15:20:34,launching @ 2024-03-09 15:20:34,running @ 2024-03-09 15:20:34,closing @ 2024-03-09 15:20:49,completed @ 2024-03-09 15:20:49
s3-dispose,dispose-delete,dispose,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-09 15:20:27,booting @ 2024-03-09 15:20:51,submitting @ 2024-03-09 15:20:51,authing @ 2024-03-09 15:20:51,launching @ 2024-03-09 15:20:51,running @ 2024-03-09 15:20:51,closing @ 2024-03-09 15:21:06,completed @ 2024-03-09 15:21:06
