Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-09 17:05:44,booting @ 2024-03-09 17:05:44,submitting @ 2024-03-09 17:05:44,authing @ 2024-03-09 17:05:44,launching @ 2024-03-09 17:05:44,running @ 2024-03-09 17:05:44,closing @ 2024-03-09 17:05:49,completed @ 2024-03-09 17:05:49
s2-main,write,write,288,1152000,655.09,655.03,680,820,970,1070,1280,1440,24.53,98128.2,100%,completed,waiting @ 2024-03-09 17:05:44,booting @ 2024-03-09 17:05:51,submitting @ 2024-03-09 17:05:51,authing @ 2024-03-09 17:05:51,launching @ 2024-03-09 17:05:51,running @ 2024-03-09 17:05:51,closing @ 2024-03-09 17:06:06,completed @ 2024-03-09 17:06:06
s3-dispose,dispose-delete,dispose,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2024-03-09 17:05:44,booting @ 2024-03-09 17:06:08,submitting @ 2024-03-09 17:06:08,authing @ 2024-03-09 17:06:08,launching @ 2024-03-09 17:06:08,running @ 2024-03-09 17:06:08,closing @ 2024-03-09 17:06:23,completed @ 2024-03-09 17:06:23
